Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '19', '3', 'scatter']",0.21899,226.0811,6.0811,49.5106,60.26315,8.25685,150.0,70.0,29.40067
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '19', '4', 'scatter']",0.27601,227.57026,8.57026,62.81125,54.38135,8.25685,150.0,69.0,32.58067
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '38', '2', 'scatter']",0.20897,247.97842,4.97842,51.81972,94.75066,8.25686,170.0,73.0,18.69941
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '38', '3', 'scatter']",0.25362,259.25037,7.25037,65.75166,79.7536,8.25687,177.0,75.0,22.21579
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '38', '4', 'scatter']",0.32111,258.3364,11.3364,82.95347,73.08199,8.25689,172.0,75.0,24.24398
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '57', '2', 'scatter']",0.24663,281.33576,5.33576,69.38587,126.49331,8.25688,198.0,78.0,13.88371
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '57', '3', 'scatter']",0.22965,270.32432,9.32432,62.07969,74.80939,8.2569,183.0,78.0,23.54447
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '57', '4', 'scatter']",0.32107,276.48584,13.48584,88.77044,78.14254,8.25693,185.0,78.0,22.67414
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",0.37245,240.21893,2.21893,89.47058,77.36394,8.25683,163.0,75.0,22.90177
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",0.37233,240.80258,3.80258,89.65751,66.31637,8.25684,165.0,72.0,26.71702
